numero_dpe;date_derniere_modification_dpe;date_visite_diagnostiqueur;date_etablissement_dpe;date_reception_dpe;date_fin_validite_dpe;numero_dpe_remplace;numero_dpe_immeuble_associe;id_rnb;provenance_id_rnb;numero_rpls_logement;numero_immatriculation_copropriete;modele_dpe;version_dpe;methode_application_dpe;etiquette_dpe;etiquette_ges;classe_altitude;zone_climatique;type_batiment;type_installation_chauffage;type_installation_ecs;hauteur_sous_plafond;nombre_appartement;nombre_niveau_immeuble;nombre_niveau_logement;typologie_logement;appartement_non_visite;surface_habitable_immeuble;surface_habitable_logement;surface_tertiaire_immeuble;classe_inertie_batiment;score_ban;numero_etage_appartement;position_logement_dans_immeuble;nom_residence;complement_adresse_batiment;complement_adresse_logement;indicateur_confort_ete;protection_solaire_exterieure;logement_traversant;presence_brasseur_air;inertie_lourde;isolation_toiture;deperditions_totales_batiment;deperditions_totales_logement;deperditions_enveloppe;deperditions_ponts_thermiques;deperditions_murs;deperditions_planchers_hauts;deperditions_planchers_bas;deperditions_portes;deperditions_baies_vitrees;deperditions_renouvellement_air;qualite_isolation_enveloppe;qualite_isolation_murs;qualite_isolation_plancher_haut_comble_amenage;qualite_isolation_plancher bas;qualite_isolation_menuiseries;ubat_w_par_m2_k;emission_ges_5_usages;emission_ges_5_usages par_m2;emission_ges_chauffage;emission_ges_ecs;emission_ges_refroidissement;emission_ges_eclairage;emission_ges_auxiliaires;type_energie_n1;emission_ges_5_usages_energie_n1;emission_ges_chauffage_energie_n1;emission_ges_ecs_energie_n1;type_energie_n2;emission_ges_5_usages_energie_n2;emission_ges_chauffage_energie_n2;emission_ges_ecs_energie_n2;type_energie_n3;emission_ges_5_usages_energie_n3;emission_ges_chauffage_energie_n3;emission_ges_ecs_energie_n3;type_energie_principale_chauffage;type_generateur_chauffage_principal;type_installation_chauffage_n1;type_emetteur_installation_chauffage_n1;configuration_installation_chauffage_n1;description_installation_chauffage_n1;surface_chauffee_installation_chauffage_n1;type_generateur_n1_installation_n1;type_energie_generateur_n1_installation_n1;usage_generateur_n1_installation_n1;type_generateur_n2_installation_n1;type_energie_generateur_n2_installation_n1;usage_generateur_n2_installation_n1;type_installation_chauffage_n2;type_emetteur_installation_chauffage_n2;configuration_installation_chauffage_n2;description_installation_chauffage_n2;surface_chauffee_installation_chauffage_n2;type_generateur_n1_installation_n2;type_energie_generateur_n1_installation_n2;usage_generateur_n1_installation_n2;type_generateur_n2_installation_n2;type_energie_generateur_n2_installation_n2;usage_generateur_n2_installation_n2;type_energie_principale_ecs;type_generateur_chauffage_principal_ecs;type_installation_ecs_n1;configuration_installation_ecs_n1;description_installation_ecs_n1;nombre_logements_desservis_par_installation_ecs_n1;surface_habitable_desservie_par_installation_ecs_n1;type_installation_solaire_n1;production_ecs_solaire_installation_n1;type_generateur_n1_ecs_n1;type_energie_generateur_n1_ecs_n1;usage_generateur_n1_ecs_n1;description_generateur_n1_ecs_n1;volume_stockage_generateur_n1_ecs_n1;cop_generateur_n1_ecs_n1;type_generateur_n2_ecs_n1;type_energie_generateur_n2_ecs_n1;usage_generateur_n2_ecs_n1;description_generateur_n2_ecs_n1;volume_stockage_generateur_n2_ecs_n1;cop_generateur_n2_ecs_n1;type_ventilation;surface_ventilee;ventilation_posterieure_2012;type_generateur_froid;description_generateur_froid;surface_climatisee;categorie_enr;systeme_production_electricite_origine_renouvelable;presence_production_pv;surface_totale_capteurs_pv;nombre_module;production_electricite_pv_kwhep_par_an;electricite_pv_autoconsommee
2438N3951358G;08/11/2024;23/10/2024;07/11/2024;08/11/2024;06/11/2034;;2438N3950523D;;;;;DPE NEUF logement : RT2012;2.4;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;inférieur à 400m;H1c;appartement;individuel;individuel;2.4;;;2;;1;;44.7;;;0.96;1;;Bâtiment A;;;moyen;1;1;0;0;1;;;;;;;;;;;bonne;bonne;;bonne;très bonne;0.47;768.5;17.2;398.9;360.7;0;6.7;2.1;Gaz naturel;757.4;397.6;359.8;Électricité;11;1.3;0.9;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3714849S;02/11/2023;25/10/2023;25/10/2023;02/11/2023;24/10/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;3;1;1;;0;215.3;80.5;;;0.81;;;;;10-E Gauche-1-E004;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.49;1162.3;14.4;774.8;372.2;0;3.2;0.2;Gaz naturel;0;0;0;Électricité;3.4;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N0355117H;31/01/2024;18/12/2023;30/01/2024;31/01/2024;29/01/2034;;2438N0033094U;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;collectif;collectif;2.5;70;1;1;;0;4806.6;63.9;;;0.62;;;;;1-Vill'Agnelas-36-D0047;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.61;558.3;8.7;249.3;292.1;0;2.5;1;Réseau de Chauffage urbain;0;0;0;Électricité;3.5;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;réseau de chaleur ou de froid vertueux;;;;;0;
2138N0398375Y;08/11/2023;14/09/2021;14/09/2021;27/09/2021;13/09/2031;;;;;;;DPE NEUF logement : RT2012;1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;125.1;125.1;;;0.73;;;;;;;;;;;;;;;;;;;;;;très bonne;très bonne;;bonne;très bonne;0.34;230.7;1.8;159.1;63.8;0;18;2.8;Électricité;26.3;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3577756X;26/10/2023;22/10/2023;22/10/2023;23/10/2023;21/10/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;10;1;1;;0;633;23.6;;;0.78;;;;;1-BâtimeBATIMENT C R+3 10 logementsnt 1-9-C302 T1 R+3;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.42;399.7;16.9;172.9;221.4;0;1.1;0.2;Gaz naturel;0;0;0;Électricité;1.3;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3958810V;21/11/2023;14/11/2023;20/11/2023;21/11/2023;19/11/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;individuel;individuel;2.5;35;1;1;;0;2417.6;68.8;;;0.81;;;;;1-Bâtiment  le Duo-4-B004;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.46;495.3;7.1;331;140.6;0;2.8;0.2;Réseau de Chauffage urbain;0;0;0;Électricité;3;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N0737977P;08/11/2023;06/04/2022;07/04/2022;08/04/2022;06/04/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;24;1;1;;0;1580.9;71;;;0.73;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.64;1490.1;21;744.3;1025.9;0;3.3;1.2;Réseau de Chauffage urbain;0;0;0;Électricité;4.5;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N1312849B;08/11/2023;23/05/2022;22/05/2022;14/06/2022;21/05/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;individuel;individuel;2.5;46;1;1;;0;2957;101.8;;;0.58;;;;;;;;;;;;;;;;;;;;;;moyenne;très bonne;;très bonne;très bonne;0.73;1078.7;10.5;607.7;634.2;0;4.6;0;Gaz naturel;0;0;0;Électricité;4.6;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N4285554X;12/12/2023;11/12/2023;11/12/2023;12/12/2023;10/12/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;88.5;88.5;;;0.35;;;;;1-Batiment n 1-1-LogZone;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.37;174.6;1.9;117.8;40.1;0;12.4;0;Électricité;16.7;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;Il existe plusieurs descriptifs ENR;;;;;0;
2138N0109387A;08/11/2023;27/07/2021;27/07/2021;28/07/2021;26/07/2031;;;;;;;DPE NEUF logement : RT2012;1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;B;A;;;maison;;;2.5;1;1;1;;0;98.9;98.9;;;0.52;;;;;;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.27;290.7;2.8;235;51;0;14.4;0;Bois – Granulés (pellets) ou briquettes;0;0;0;Électricité;19.6;0;0;;;;;Bois – Granulés (pellets) ou briquettes;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N1449231N;08/11/2023;26/06/2022;26/06/2022;27/06/2022;25/06/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;A;A;;;appartement;individuel;individuel;2.5;22;1;1;;0;1593.4;49.3;;;0.58;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.49;286.3;5.8;83.7;252.4;0;2;0.1;Réseau de Chauffage urbain;0;0;0;Électricité;2.1;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;réseau de chaleur ou de froid vertueux;;;;;0;
2138N0346783Q;08/11/2023;19/07/2021;17/09/2021;18/09/2021;16/09/2031;;;;;;;DPE NEUF logement : RT2012;1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;49;1;1;;0;3089.8;64.1;;;0.59;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;bonne;très bonne;0.65;725.7;11.3;321.1;549.9;0;3.4;1.1;Gaz naturel;0;0;0;Électricité;4.4;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N3397134X;26/10/2023;05/10/2023;09/10/2023;10/10/2023;08/10/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;144.7;144.7;;;0.73;;;;;1-Mme BRERO-1-LogZone;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.32;238.1;1.6;173.3;37.1;0;19.7;0;Électricité;27.7;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;Il existe plusieurs descriptifs ENR;;;;;0;
2338N0267577I;26/10/2023;26/01/2023;26/01/2023;27/01/2023;25/01/2033;;;;;;;DPE NEUF logement : RT2012;2.2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;108.5;108.5;;;0.42;;;;;1-ROBERT Olivier Tiphanie-1-LogZone;;;;;;;;;;;;;;;;;très bonne;très bonne;;bonne;très bonne;0.38;194;1.7;138.8;41.5;0;15.2;2.6;Électricité;25.7;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;pompe à chaleur;;;;;0;
2338N2559864F;26/10/2023;25/07/2023;26/07/2023;28/07/2023;25/07/2033;;2338N2559851S;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;14;1;1;;0;917.7;92.3;;;0.81;;;;;1-Bâtiment social - Batiment A-4-A004;;;;;;;;;;;;;;;;;bonne;bonne;;très bonne;très bonne;0.54;1093.6;11.8;610.7;465;0;4.1;0.2;Gaz naturel;0;0;0;Électricité;4.4;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N2465552V;26/10/2023;29/06/2023;29/06/2023;21/07/2023;28/06/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;B;;;appartement;individuel;individuel;2.5;95;1;1;;0;3916.5;63;;;0.66;;;;;1-Ilot Morge 131 logements-6-A106 T2 R+1;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.51;600.7;9.5;73.1;502.7;0;2.7;0.2;Gaz naturel;0;0;0;Électricité;2.8;0;0;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;pompe à chaleur;;;;;0;
2438N3297505B;22/09/2024;05/09/2024;21/09/2024;22/09/2024;20/09/2034;;;;;;;DPE NEUF logement : RT2012;2.4;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;inférieur à 400m;H1c;maison;;;2.5;;;1;;;;70.1;;;0.95;0;;;;;moyen;1;1;0;0;0;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.37;140.1;1.9;82.6;24.5;0;10;23;Électricité;123.3;66.9;24.1;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;Il existe plusieurs descriptifs ENR;;;;;0;
2238N3118714K;26/10/2023;02/08/2022;20/12/2022;22/12/2022;19/12/2032;;2238N3118652A;;;;;DPE NEUF logement : RT2012;2.2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;85;1;1;;0;2709.1;32.3;;;0.39;;;;;1-BATIMENT A et B-39-A221_T2;;;;;;;;;;;;;;;;;bonne;très bonne;;bonne;très bonne;0.56;466.1;14.4;89.9;518.8;0;1.4;0.2;Bois – Granulés (pellets) ou briquettes;0;0;0;GPL;0;0;0;Électricité;1.6;0;0;Bois – Granulés (pellets) ou briquettes;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;chauffage au bois;;;;;0;
2238N2642102E;26/10/2023;06/11/2022;07/11/2022;08/11/2022;06/11/2032;;;;;;;DPE NEUF logement : RT2012;2.2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;15;1;1;;0;1002.4;84;;;0.79;;;;;1-Batiment A-14-A204;;;;;;;;;;;;;;;;;bonne;bonne;;très bonne;très bonne;0.52;1011.3;12;615.2;538.7;0;3.4;0;Gaz naturel;0;0;0;Électricité;3.4;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N0500591L;12/02/2024;11/02/2024;11/02/2024;12/02/2024;10/02/2034;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;;;maison;;;2.5;1;1;1;;0;94.1;94.1;;;0.35;;;;;1-Batiment n 1-1-LogZone;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.25;188.2;2;124.1;43.4;0;11.7;3.6;Électricité;20.7;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;pompe à chaleur;;;;;0;
2338N2091801U;26/10/2023;24/05/2023;24/05/2023;22/06/2023;23/05/2033;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;8;1;1;;0;660;77.3;;;0.69;;;;;1-Résidence Le Prélude-1-A101;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.5;1060.3;13.7;694.4;348.8;0;3.3;0.6;Gaz naturel;0;0;0;Électricité;3.8;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N1426611N;08/11/2023;19/06/2022;23/06/2022;24/06/2022;22/06/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;C;C;;;maison;;;2.5;1;1;1;;0;615.1;65.8;;;0.79;;;;;;;;;;;;;;;;;;;;;;très bonne;très bonne;;très bonne;très bonne;0.38;889.6;13.5;529.4;481.9;0;2.8;0;Gaz naturel;0;0;0;Électricité;2.8;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N0261053L;24/01/2024;15/01/2024;23/01/2024;24/01/2024;22/01/2034;;2438N0261014Y;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;19;1;1;;0;1156.5;65.6;;;0.82;;;;;1-A-11-A106;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.52;1002.8;15.2;509.9;480.4;0;2.8;0;Gaz naturel;0;0;0;Électricité;2.8;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N0900991J;08/11/2023;26/04/2022;26/04/2022;28/04/2022;25/04/2032;;;;;;;DPE NEUF logement : RT2012;2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;62;1;1;;0;1396;19.6;;;0.79;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.55;262.2;13.4;127.1;182.7;0;0.9;0.3;Réseau de Chauffage urbain;0;0;0;Électricité;1.2;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2338N0688350X;26/10/2023;25/01/2023;01/03/2023;02/03/2023;28/02/2033;;2338N0688066Z;;;;;DPE NEUF logement : RT2012;2.2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;inférieur à 400m;H1c;appartement;individuel;individuel;2.5;20;1;;;1;1255.4;48.5;;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N0901049P;08/11/2023;26/04/2022;26/04/2022;28/04/2022;25/04/2032;;;;;;;DPE NEUF logement : RT2012;2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;62;1;1;;0;1396;33.6;;;0.79;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.55;448.4;13.4;217.3;312.5;0;1.5;0.5;Réseau de Chauffage urbain;0;0;0;Électricité;2;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N2744053J;26/10/2023;17/11/2022;17/11/2022;18/11/2022;16/11/2032;;;;;;;DPE NEUF logement : RT2012;2.2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;A;inférieur à 400m;H1c;appartement;collectif;collectif;2.5;5;1;;;0;343.6;76.4;;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2138N0230853U;08/11/2023;29/08/2021;29/08/2021;30/08/2021;28/08/2031;;;;;;;DPE NEUF logement : RT2012;1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : immeuble;B;B;;;immeuble;;;2.5;11;1;1;;0;761.6;761.6;;;0.57;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.51;6672.8;8.8;2528.9;5616.8;0;109.6;25.4;Réseau de Chauffage urbain;0;0;0;Électricité;160.4;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N0580631V;08/11/2023;21/03/2022;21/03/2022;22/03/2022;20/03/2032;;;;;;;DPE NEUF logement : RT2012;2;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;31;1;1;;0;1706.2;67;;;0.76;;;;;;;;;;;;;;;;;;;;;;moyenne;bonne;;très bonne;très bonne;0.67;791.7;11.8;435.5;484.4;0;2.9;0.2;Gaz naturel;0;0;0;Électricité;3;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2138N0655501K;08/11/2023;08/11/2021;08/11/2021;09/11/2021;07/11/2031;;;;;;;DPE NEUF logement : RT2012;1.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;A;A;;;appartement;collectif;collectif;2.5;21;1;1;;0;1462;46.8;;;0.41;;;;;;;;;;;;;;;;;;;;;;bonne;très bonne;;très bonne;très bonne;0.51;88.4;1.8;29.5;64.3;0;2.3;0.8;Bois – Granulés (pellets) ou briquettes;0;0;0;Électricité;3;0;0;;;;;Bois – Granulés (pellets) ou briquettes;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N1446968O;22/04/2024;21/04/2024;21/04/2024;22/04/2024;20/04/2034;;2438N1446922U;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;;;appartement;individuel;individuel;2.5;18;1;1;;0;1251.8;95.8;;;0.82;;;;;1-Batiment A-18-A205;;;;;;;;;;;;;;;;;bonne;très bonne;;bonne;très bonne;0.47;1116.2;11.6;819.6;278.5;0;3.9;0.2;Gaz naturel;0;0;0;Électricité;4.1;0;0;;;;;Gaz naturel;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N3987154A;12/11/2024;05/11/2024;11/11/2024;12/11/2024;10/11/2034;;;;;;;DPE NEUF logement : RT2012;2.4;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : maison individuelle;A;A;400-800m;H1c;maison;;;2.5;;;1;;;;127;;;0.78;;;;;;moyen;1;1;0;0;1;;;;;;;;;;;très bonne;très bonne;très bonne;très bonne;très bonne;0.3;188.9;1.4;127.3;35.9;0;17.3;8.4;Électricité;162.9;103.1;35.3;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;Il existe plusieurs descriptifs ENR;;;;;0;
2438N2263007R;24/06/2024;23/06/2024;23/06/2024;24/06/2024;22/06/2034;;2438N2262004C;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;C;C;inférieur à 400m;H1c;appartement;individuel;individuel;2.5;30;1;;;0;2082.5;66.6;;;0.59;0;;;C-DI69- 2022-30-167731 Résidence L'Exclusif;202;;;;;;;1182.8;26.8;;;;;;;;;bonne;bonne;;très bonne;très bonne;0.58;761.2;11;372.2;376.9;0;10;2.2;Gaz naturel;761.2;372.2;376.9;Électricité;761.2;372.2;376.9;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2238N1463418E;08/11/2023;27/06/2022;27/06/2022;28/06/2022;26/06/2032;;;;;;;DPE NEUF logement : RT2012;2.1;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;A;A;;;appartement;individuel;individuel;2.5;50;1;1;;0;3206.2;109.7;;;0.74;;;;;;;;;;;;;;;;;;;;;;moyenne;moyenne;;très bonne;très bonne;0.73;322.7;2.9;130.1;225.6;0;4.3;2.4;Réseau de Chauffage urbain;0;0;0;Électricité;6.8;0;0;;;;;Réseau de Chauffage urbain;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;
2438N1684393H;14/05/2024;12/05/2024;12/05/2024;14/05/2024;11/05/2034;;;;;;;DPE NEUF logement : RT2012;2.3;dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement;B;A;;;appartement;individuel;individuel;2.5;6;1;1;;0;374.8;68.3;;;0.8;;;;;2-Batiment B-4-B101;;;;;;;;;;;;;;;;;très bonne;bonne;;très bonne;très bonne;0.43;162.7;2.3;108.5;39.2;0;2.2;0;Électricité;2.2;0;0;;;;;;;;;Électricité;;;;;;;;;;;;;;;;;;;;;;;;Non affecté;;;;;;;;;;;;;;;;;;;;;;;0;;;;Il existe plusieurs descriptifs ENR;;;;;0;
